Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Meta Description 1,H1-1,Word Count,Crawl Depth,Unique Inlinks,Response Time,Canonical Link Element 1,Last Modified
https://vantive.io/blog/quota-attainment-analysis,text/html; charset=UTF-8,200,OK,Indexable,,How to Analyze Quota Attainment,How to Analyze Quota Attainment - Vantive.,How to Analyze Quota Attainment,980,4,1,1.714,https://vantive.io/blog/quota-attainment-analysis,2023-10-03
https://vantive.io/blog/conversation-intelligence,text/html; charset=UTF-8,200,OK,Indexable,,Conversation Intelligence: Buyer's Guide,Conversation Intelligence: Buyer's Guide - Vantive.,Conversation Intelligence: Buyer's Guide,2200,5,42,1.198,https://vantive.io/blog/conversation-intelligence,2025-11-02
https://vantive.io/blog/arr-vs-mrr,text/html; charset=UTF-8,200,OK,Indexable,,ARR vs MRR: Which Should You Report?,ARR vs MRR: Which Should You Report? - Vantive.,ARR vs MRR: Which Should You Report?,780,2,1,0.415,https://vantive.io/blog/arr-vs-mrr,2023-06-20
https://vantive.io/blog/sales-capacity-planning,text/html; charset=UTF-8,200,OK,Indexable,,Sales Capacity Planning Without Guesswork,Sales Capacity Planning Without Guesswork - Vantive.,Sales Capacity Planning Without Guesswork,1350,4,5,0.426,https://vantive.io/blog/sales-capacity-planning,2025-12-06
https://vantive.io/blog/attribution-models-b2b,text/html; charset=UTF-8,200,OK,Indexable,,B2B Attribution Models Compared,B2B Attribution Models Compared - Vantive.,B2B Attribution Models Compared,1850,2,15,0.956,https://vantive.io/blog/attribution-models-b2b,2025-07-09
https://vantive.io/compare/clearloop-alternative,text/html; charset=UTF-8,200,OK,Indexable,,The Clearloop Alternative for RevOps Teams,The Clearloop Alternative for RevOps Teams - Vantive.,The Clearloop Alternative for RevOps Teams,1100,1,25,0.818,https://vantive.io/compare/clearloop-alternative,2025-10-15
https://vantive.io/compare/pipelinehq-vs-vantive,text/html; charset=UTF-8,200,OK,Indexable,,PipelineHQ vs Vantive,PipelineHQ vs Vantive - Vantive.,PipelineHQ vs Vantive,950,3,26,0.969,https://vantive.io/compare/pipelinehq-vs-vantive,2025-11-20
https://vantive.io/compare/revenue-intelligence-tools,text/html; charset=UTF-8,200,OK,Indexable,,12 Revenue Intelligence Tools Compared,12 Revenue Intelligence Tools Compared - Vantive.,12 Revenue Intelligence Tools Compared,2800,1,22,0.315,https://vantive.io/compare/revenue-intelligence-tools,2026-02-01
https://vantive.io/product/forecasting,text/html; charset=UTF-8,200,OK,Indexable,,Revenue Forecasting Software,Revenue Forecasting Software - Vantive.,Revenue Forecasting Software,900,3,24,1.652,https://vantive.io/product/forecasting,2026-01-12
https://vantive.io/product/pipeline-analytics,text/html; charset=UTF-8,200,OK,Indexable,,Pipeline Analytics,Pipeline Analytics - Vantive.,Pipeline Analytics,850,5,10,0.855,https://vantive.io/product/pipeline-analytics,2025-10-30
https://vantive.io/product/deal-intelligence,text/html; charset=UTF-8,200,OK,Indexable,,Deal Intelligence,Deal Intelligence - Vantive.,Deal Intelligence,800,3,42,1.253,https://vantive.io/product/deal-intelligence,2025-04-18
https://vantive.io/pricing,text/html; charset=UTF-8,200,OK,Indexable,,Pricing,Pricing - Vantive.,Pricing,600,5,6,1.723,https://vantive.io/pricing,2026-03-04
https://vantive.io/demo,text/html; charset=UTF-8,200,OK,Indexable,,Book a Demo,,Book a Demo,300,3,29,1.753,https://vantive.io/demo,2025-12-11
https://vantive.io/customers/northwind,text/html; charset=UTF-8,200,OK,Indexable,,How Northwind cut forecast error by 41%,How Northwind cut forecast error by 41% - Vantive.,How Northwind cut forecast error by 41%,1200,2,25,0.210,https://vantive.io/customers/northwind,2025-01-09
https://vantive.io/customers/acme-logistics,text/html; charset=UTF-8,200,OK,Non-Indexable,noindex,Acme Logistics: 3x pipeline visibility,Acme Logistics: 3x pipeline visibility - Vantive.,Acme Logistics: 3x pipeline visibility,1150,4,40,0.385,https://vantive.io/customers/acme-logistics,2025-08-14
https://vantive.io/glossary/pipeline-coverage,text/html; charset=UTF-8,200,OK,Indexable,,Pipeline Coverage (definition),,Pipeline Coverage (definition),420,4,19,1.169,https://vantive.io/glossary/pipeline-coverage,2024-02-05
https://vantive.io/glossary/sales-velocity,text/html; charset=UTF-8,200,OK,Indexable,,Sales Velocity (definition),,Sales Velocity (definition),390,5,1,0.749,https://vantive.io/glossary/sales-velocity,2024-02-05
https://vantive.io/glossary/net-revenue-retention,text/html; charset=UTF-8,200,OK,Non-Indexable,noindex,Net Revenue Retention (definition),,Net Revenue Retention (definition),410,1,26,1.330,https://vantive.io/glossary/net-revenue-retention,2024-02-05
https://vantive.io/blog/old-forecasting-post,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,,,0,3,7,0.210,,
https://vantive.io/resources/2023-benchmark-report,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,,,0,3,3,0.210,,
https://vantive.io/blog/legacy-revops-guide,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,,,0,3,5,0.210,,
https://vantive.io/blog/glossary-stub-a,text/html; charset=UTF-8,200,OK,Indexable,,Stub,,Stub,120,6,2,1.850,https://vantive.io/blog/glossary-stub-a,2023-04-01
https://vantive.io/blog/glossary-stub-b,text/html; charset=UTF-8,200,OK,Indexable,,Stub,,Stub,120,6,2,1.850,https://vantive.io/blog/glossary-stub-b,2023-04-01
